blunder          error; stupid mistake
blunt            having a dull edge; abrupt and frank in speech or manner; brusque
blurt            utter impulsively from nervousness or excitement
blush            become red in the face (from embarrassment or shame); become red or rosy
bluster          blow in heavy gusts; threaten emptily; bully; speak in a noisy or bullying manner
bode             foreshadow; portend
bogus            counterfeit; not authentic; intentionally false
Bohemian         unconventional (in an artistic way)
boisterous       violent; rough; noisy
bolster          support; reinforce
bolt             door bar; fastening pin or screw; length of fabric
bombardment      attack (as with missiles or bombs)
bombast          grandiloquent, pompous speech
bombastic        pompous; using inflated language
boon             blessing; benefit; something very helpful
boorish          rude; insensitive
bouillon         clear beef (or meat) soup
bountiful        generous; graciously generous; showing bounty
bourgeois        middle class; selfishly materialistic; too interested in material possessions
bovine           cowlike; placid and dull; slow-thinking; calm
bowdlerize       expurgate
brackish         somewhat saline
braggadocio      boasting
braggart         boaster; bragger
brandish         wave around (a weapon); flourish
bravado          swagger; assumed air of defiance; false show of bravery
brave            face courageously
brawl            noisy quarrel
brawn            human muscle; muscular strength; sturdiness
brawny           muscular; having well-developed muscles
brazen           insolent; without shame; bold; Ex. brazen lie
breach           breaking of contract or duty; fissure or gap; opening
breadth          width; extent
breed            produce young; rear; bring up; produce (an undesirable condition)
brevity          conciseness; shortness of duration
brindled         tawny or grayish with streaks or spots (of animals)
brisk            quick and active; marked by liveliness and vigor
bristle          short stiff hair
bristling        rising like bristles; showing irritation
brittle          hard but easily broken; difficult; unstable
broach           introduce as a subject; moot; open up
brocade          rich, figured(patterned) fabric
brochure         pamphlet
brooch           ornamental clasp; pin
browbeat         bully; intimidate
browse           graze; feed on growing grass; skim or glance at casually
bruise           injure without breaking the skin
brunt            main impact or shock (of an attack or blow)
brusque          blunt; abrupt; curt; not wanting to waste time being nice
buccaneer        pirate
bucolic          rustic; pastoral
buffet           strike forcefully; slap; batter; knock out
buffoonery       clowning
bugaboo          bugbear; object of baseless terror
bulk             size or volume (esp. when very large); main part
bullion          gold and silver in the form of bars
bully            one who is habitually cruel to weaker people
bulwark          strong wall built for defense; earthwork or other strong defense; person who defends
bungle           mismanage; blunder; botch; blow; spoil by clumsy behavior
buoyant          able to float; cheerful and optimistic
bureaucracy      overregulated administrative system marked by red tape
burgeon          grow rapidly; grow forth; send out buds
burlesque        give an imitation that ridicules; imitate mockingly
burnish          make shiny by rubbing; polish
buttress         support; prop up
buxom            full-bosomed; plump; jolly
cabal            small group of persons secretly united to promote their own interests
cache            hiding place
cacophonous      discordant; inharmonious
cadaver          corpse; dead human body
cadaverous       like a corpse; pale
cadence          rhythmic rise and fall (of words or sounds); beat
cajole           persuade by praise or false promise; coax; wheedle
calamity         disaster; misery
calculated       deliberately planned; likely
caldron		 large kettle
caliber          ability; quality; diameter of the inside of a round cylinder
calligraphy      beautiful writing; excellent penmanship
callous          hardened; unfeeling; without sympathy for the sufferings of others; unkind
callow           youthful; immature; inexperienced
calorific        heat-producing
calumny          malicious misrepresentation; slander
camaraderie      good-fellowship
cameo            shell or jewel carved in relief; star's special appearance in a minor role in a film
camp             group sharing a common cause or opinion
canard           unfounded false rumor; exaggerated false report
candor           frankness; open honesty
canine           related to dogs; doglike
canker           any ulcerous sore; ulcer; any evil
canny            shrewd in money matters; thrifty
cant             insincere speech or expression of piety; jargon of thieves
cantankerous     ill-humored; irritable
cantata          story set to music to be sung by a chorus (shorter than an oratorio)
canter           slow gallop
