astral           relating to the stars
astringent       binding; causing contraction (stopping bleeding); harsh or severe; stringent
astronomical     enormously large or extensive
astute           wise; shrewd; keen; seeing quickly something that is to one's advantage
asunder          into parts; apart
asylum           place of refuge or shelter; protection (religious or political)
asymmetric       not identical on both sides of a dividing central line
atavism          resemblance to remote ancestors rather than to parents
atheistic        denying the existence of God
atone            make amends for; pay for
atrocity         brutal deed
atrophy          wasting away
attentive        alert and watchful; listening carefully
attenuate        make thin; weaken
attest           testify; bear witness
attribute        essential quality; V: ascribe; explain
attrition        rubbing away by friction; gradual decrease in numbers or strength
atypical         not normal; not typical
audacious        daring; bold
audit            examination of accounts of a business; official examination
augment          increase; add to
augury           omen; prophecy; sign of coming events
august           impressive; majestic
aureole          sun's corona; halo; bright circle of light
auroral          pertaining to the aurora borealis
auspicious       favoring success; giving signs of future success
austere          forbiddingly stern; ascetic; without comfort or enjoyment; severely simple and unornamented
authenticate     prove genuine
authoritarian    subordinating the individual to the state; completely dominating another's will
authoritative    having the weight of authority
autocratic       having absolute unchecked power; dictatorial
automaton        mechanism that imitates actions of humans; machine that works by itself
autonomous       self-governing
autopsy          examination of a dead body; postmortem
auxiliary        offering or providing help; additional or subsidiary
avalanche        great mass of falling snow and ice
avarice          greediness for wealth
avenge           take vengence for something or on behalf of someone
aver             state confidently; declare as true
averse           reluctant; disinclined; not liking or opposed
aversion         firm dislike
avert            prevent; avoid; turn away (eyes or thought)
aviary           enclosure for birds; large cage
avid             greedy; extremely eager for
avocation        secondary or minor occupation
avow             declare openly
avuncular        of or like an uncle
awe              solemn wonder; feeling of respect mixed with wonder and fear
awful            terrible; very bad
awl              pointed tool used for piercing
awry             distorted; crooked; bent
axiom            self-evident truth requiring no proof
azure            sky blue
babble           chatter idly or foolishly; make continuous sounds like water running gently over rounded stone
bacchanalian     drunken
badger           pester; annoy continually with demands; persuade by asking again and again
badinage         teasing conversation; banter; joking talk
baffle           frustrate; perplex
bait             harass; tease; torment
baleful          evil; malignant in intent or effect; deadly
balk             stop short, as if faced with an obstacle, and refuse to continue; foil
ballast          heavy substance used to add stability or weight
balm             something that relieves pain; oily liquid with a pleasant smell from trees
balmy            soft and mild (of air); fragrant
banal            hackneyed; commonplace; trite
bandy            discuss lightly or glibly; discuss in a frivolous manner
bane             posion; cause of ruin; ADJ. baneful: harmful; poisonous
bantering        joking talk; good-naturedly ridiculing
barb             sharp projection from fishhook, arrow, or other object; openly cutting remark
