apothegm	 pithy, compact saying
apotheosis       elevation to godhood; an ideal example of something
appall           dismay; shock deeply
apparent         evident; easily seen or understood; appearing as such
apparition       ghost; phantom
appease          pacify or soothe
appellation      name; title
append           attach
application      diligent attention; diligence
apposite         appropriate; fitting
appraise         estimate value of
appreciate       be thankful for; increase in worth; be thoroughly conscious of
apprehend        arrest (a criminal); dread; perceive
apprehensive     fearful; discerning
apprise          inform
approbation      approval
appropriate      acquire; take possession of for one's own use without permission; set aside for a particular purpose
appurtenances    subordinate possessions; something added to a more important thing
apropos          with reference to; regarding
aptitude         fitness; talent
aquiline         curved; hooked; of or like an eagle
arable           fit for growing crops
arbiter          person with power to decide a matter in dispute
arbitrary        unreasonable or capricious; random; tyrannical
arbitrate        act as judge (at the request of both sides)
arboretum        place where different trees and shrubs are studied and exhibited
arcade           a covered passageway usually lined with shops
arcane           esoteric; secret; mysterious; known only to the initiated
archaeology      study of artifacts and relics of early mankind
archaic          antiquated; no longer used; belonging to the past
archetype        prototype; primitive pattern
archipelago      group of closely located islands
archives         public records; place where public records are kept
ardor            heat; passion; zeal
arduous          hard; strenuous
argot            slang; speech spoken by only a small group of people
aria             operatic solo; a song sung by one person in an opera or oratorio
arid             (of land) dry; barren; unproductive
aristocracy      hereditary nobility; privileged class; government by nobility
armada           fleet of warships
aromatic         fragrant; having a sweet smell
arraign          charge in court; indict
array            marshal; draw up in order; arrange in order; clothe splendidly; adorn
arrears          being in debt; money that should have been paid
arrhythmic       lacking rhythm or regularity
arrogance        pride; haughtiness
arroyo           gully; narrow channel formed by rainwater
arsenal          storage place for military equipment
artful           exhibiting art or skill; deceitful; cunning
articulate       effective; distinct; expressing ideas clearly; having clear sounds; having joints
artifacts        object made by human beings, either hand-made or mass-produced
artifice         deception; trickery
artisan          a manually skilled worker
artless          without guile; open and honest
ascendancy       controlling influence; position of controlling influence
ascertain        find out for certain; make certain
ascetic          practicing self-denial; avoiding physical pleasures and comforts; austere
ascribe          refer; attribute; assign
aseptic          preventing infection; having a cleansing effect
ashen            ash-colored; deadly pale
asinine          stupid; Ex. asinine remarks
askance          with a sideways or indirect look (with disapproval or distruct)
askew            crookedly; slanted; at an angle
asperity         sharpness; roughness; severity (of temper or weather)
aspersion        slanderous remark
aspirant         seeker after position or status
aspire           seek to attain (position or status); long for
assail           assault
assay            analyze (to discover what materials are present); evaluate (soil or ore)
assent           agree; accept
assert           state strongly or positively; demand recognition of (rights, claims, etc.)
assiduous        diligent
assimilate       absorb; take (food) into the body and digest it
assuage          mak less severe; ease or lessen (pain); satisfy (hunger); soothe (anger)
assumption       something taken for granted; the taking over or taking possession of
assurance        firm statement that something is certainly true; promise or pledge; certainty
asteroid         small planet
astigmatism      eye defect which prevents proper focus
